gene,n_cells,n_nonzero,frac_nonzero,sum,mean,mean_nonzero,seurat_clusters,feature,feature_name,xpos,aifi_cell_type,n_type,cell_type_label,cell_type_color,cell_type_xpos,cell_type_ypos,ypos,color,scaled_mean
CD45RA,525,525,1,97766,186.220952380952,186.220952380952,12,adt_CD45RA,CD45RA,1,t_cd4_naive,320,CD4 Naive,#93A7D1,1,7,11,#99A800,0.318505321844387
CD45RO,525,525,1,26743,50.9390476190476,50.9390476190476,12,adt_CD45RO,CD45RO,2,t_cd4_naive,320,CD4 Naive,#93A7D1,1,7,11,#99A800,0.159686050679559
CD69,525,525,1,23961,45.64,45.64,12,adt_CD69,CD69,3,t_cd4_naive,320,CD4 Naive,#93A7D1,1,7,11,#99A800,0.423004374567541
CD11c,525,378,0.72,850,1.61904761904762,2.24867724867725,12,adt_CD11c,CD11c,4,t_cd4_naive,320,CD4 Naive,#93A7D1,1,7,11,#99A800,0.237788264276736
CD25,525,511,0.973333333333333,3044,5.79809523809524,5.95694716242661,12,adt_CD25,CD25,5,t_cd4_naive,320,CD4 Naive,#93A7D1,1,7,11,#99A800,0.0550477405848213
TIGIT,525,524,0.998095238095238,5992,11.4133333333333,11.4351145038168,12,adt_TIGIT,TIGIT,6,t_cd4_naive,320,CD4 Naive,#93A7D1,1,7,11,#99A800,0.0787137041123056
CD45RA,314,314,1,91264,290.649681528662,290.649681528662,13,adt_CD45RA,CD45RA,1,t_cd4_naive,313,CD4 Naive,#93A7D1,1,7,10,#53B400,1
CD45RO,314,314,1,14556,46.3566878980892,46.3566878980892,13,adt_CD45RO,CD45RO,2,t_cd4_naive,313,CD4 Naive,#93A7D1,1,7,10,#53B400,0.0343881528194105
CD69,314,314,1,24920,79.3630573248408,79.3630573248408,13,adt_CD69,CD69,3,t_cd4_naive,313,CD4 Naive,#93A7D1,1,7,10,#53B400,1
CD11c,314,212,0.67515923566879,459,1.46178343949045,2.16509433962264,13,adt_CD11c,CD11c,4,t_cd4_naive,313,CD4 Naive,#93A7D1,1,7,10,#53B400,0.0956658122860136
CD25,314,298,0.949044585987261,1316,4.19108280254777,4.41610738255034,13,adt_CD25,CD25,5,t_cd4_naive,313,CD4 Naive,#93A7D1,1,7,10,#53B400,0
TIGIT,314,314,1,3464,11.031847133758,11.031847133758,13,adt_TIGIT,TIGIT,6,t_cd4_naive,313,CD4 Naive,#93A7D1,1,7,10,#53B400,0.0248097836416672
UBE2E2,8898,3617,0.406495841762194,7654.22361602306,0.860218432908863,2.11618015372493,0,rna_UBE2E2,UBE2E2,7.5,t_cd4_naive,8823,CD4 Naive,#93A7D1,1,7,14,#F8766D,0.876546404115345
MAF,8898,514,0.0577657900651832,841.659984258006,0.0945897936904929,1.63747078649417,0,rna_MAF,MAF,8.5,t_cd4_naive,8823,CD4 Naive,#93A7D1,1,7,14,#F8766D,0.408813484826491
CCL5,8898,222,0.0249494268374916,320.004535875475,0.035963647547255,1.44146187331295,0,rna_CCL5,CCL5,9.5,t_cd4_naive,8823,CD4 Naive,#93A7D1,1,7,14,#F8766D,0.267057842606905
FOXP3,8898,63,0.00708024275118004,89.5058632351893,0.0100590990374454,1.42072798786015,0,rna_FOXP3,FOXP3,10.5,t_cd4_naive,8823,CD4 Naive,#93A7D1,1,7,14,#F8766D,0.285108980666301
UBE2E2,2529,270,0.106761565836299,519.545228533815,0.20543504489277,1.92424158716228,1,rna_UBE2E2,UBE2E2,7.5,t_cd4_em,2095,CD4 EM,#1C75BC,3,5,3,#DF70F8,0.667533137066175
MAF,2529,843,0.333333333333333,1447.49168504485,0.572357329001523,1.71707198700457,1,rna_MAF,MAF,8.5,t_cd4_em,2095,CD4 EM,#1C75BC,3,5,3,#DF70F8,0.524231993312292
CCL5,2529,519,0.205219454329775,828.639088933898,0.3276548394361,1.59660710777244,1,rna_CCL5,CCL5,9.5,t_cd4_em,2095,CD4 EM,#1C75BC,3,5,3,#DF70F8,0.518465968840635
FOXP3,2529,44,0.0173981810992487,61.1874661882088,0.024194332221514,1.3906242315502,1,rna_FOXP3,FOXP3,10.5,t_cd4_em,2095,CD4 EM,#1C75BC,3,5,3,#DF70F8,0.239594508468427
UBE2E2,1973,87,0.0440952863659402,165.363921669564,0.0838134423059118,1.90073473183407,2,rna_UBE2E2,UBE2E2,7.5,t_cd4_cm,1707,CD4 CM,#00AEEF,2,6,9,#00BC56,0.641935130796827
MAF,1973,959,0.486061834769387,1730.6742238936,0.877179028836088,1.8046655097952,2,rna_MAF,MAF,8.5,t_cd4_cm,1707,CD4 CM,#00AEEF,2,6,9,#00BC56,0.651239044571421
CCL5,1973,41,0.0207805372529143,55.3410614657181,0.0280491948635165,1.34978198696873,2,rna_CCL5,CCL5,9.5,t_cd4_cm,1707,CD4 CM,#00AEEF,2,6,9,#00BC56,0.118493379641467
FOXP3,1973,45,0.0228079067410035,69.3608398997483,0.0351550126202475,1.54135199777218,2,rna_FOXP3,FOXP3,10.5,t_cd4_cm,1707,CD4 CM,#00AEEF,2,6,9,#00BC56,0.467482837570112
UBE2E2,1797,744,0.414023372287145,1577.59690485902,0.87790590142405,2.12042594739115,3,rna_UBE2E2,UBE2E2,7.5,t_cd4_naive,1790,CD4 Naive,#93A7D1,1,7,13,#E38900,0.881169900170812
MAF,1797,30,0.01669449081803,40.8186308028766,0.0227148752381061,1.36062102676255,3,rna_MAF,MAF,8.5,t_cd4_naive,1790,CD4 Naive,#93A7D1,1,7,13,#E38900,0.00739257486542117
CCL5,1797,50,0.0278241513633834,72.7554327009273,0.0404871634395811,1.45510865401855,3,rna_CCL5,CCL5,9.5,t_cd4_naive,1790,CD4 Naive,#93A7D1,1,7,13,#E38900,0.289172035016802
FOXP3,1797,8,0.00445186421814135,11.5400003155197,0.00642181431025023,1.44250003943996,3,rna_FOXP3,FOXP3,10.5,t_cd4_naive,1790,CD4 Naive,#93A7D1,1,7,13,#E38900,0.318026581583518
UBE2E2,1696,25,0.0147405660377358,40.5608244320395,0.0239155804434195,1.62243297728158,4,rna_UBE2E2,UBE2E2,7.5,t_cd4_cm,1586,CD4 CM,#00AEEF,2,6,8,#00C094,0.338875876024575
MAF,1696,301,0.17747641509434,461.275545972944,0.271978505880274,1.53247689692008,4,rna_MAF,MAF,8.5,t_cd4_cm,1586,CD4 CM,#00AEEF,2,6,8,#00C094,0.256576608283625
CCL5,1696,28,0.0165094339622642,37.5063832569069,0.0221146127694026,1.33951368774667,4,rna_CCL5,CCL5,9.5,t_cd4_cm,1586,CD4 CM,#00AEEF,2,6,8,#00C094,0.101853913556549
FOXP3,1696,13,0.00766509433962264,18.09194868505,0.0106674225737323,1.39168836038846,4,rna_FOXP3,FOXP3,10.5,t_cd4_cm,1586,CD4 CM,#00AEEF,2,6,8,#00C094,0.241203386175429
UBE2E2,1312,143,0.108993902439024,267.156635820491,0.203625484619276,1.86822822252091,5,rna_UBE2E2,UBE2E2,7.5,t_cd4_cm,1244,CD4 CM,#00AEEF,2,6,7,#00BFC4,0.606536868563327
MAF,1312,570,0.434451219512195,930.772734433152,0.709430437830146,1.63293462181255,5,rna_MAF,MAF,8.5,t_cd4_cm,1244,CD4 CM,#00AEEF,2,6,7,#00BFC4,0.402236230231805
CCL5,1312,29,0.0221036585365854,37.0231144572846,0.028218837238784,1.27665911921671,5,rna_CCL5,CCL5,9.5,t_cd4_cm,1244,CD4 CM,#00AEEF,2,6,7,#00BFC4,0
FOXP3,1312,16,0.0121951219512195,21.7946074154229,0.0166117434568772,1.36216296346393,5,rna_FOXP3,FOXP3,10.5,t_cd4_cm,1244,CD4 CM,#00AEEF,2,6,7,#00BFC4,0.19656334711795
UBE2E2,1284,202,0.157320872274143,446.77109500906,0.347952566206433,2.21173809410426,6,rna_UBE2E2,UBE2E2,7.5,t_cd4_naive,1196,CD4 Naive,#93A7D1,1,7,12,#C49A00,0.980605102004251
MAF,1284,148,0.115264797507788,302.689162283173,0.235739222961973,2.04519704245387,6,rna_MAF,MAF,8.5,t_cd4_naive,1196,CD4 Naive,#93A7D1,1,7,12,#C49A00,1
CCL5,1284,43,0.0334890965732087,81.4318610122753,0.063420452501772,1.8937642095878,6,rna_CCL5,CCL5,9.5,t_cd4_naive,1196,CD4 Naive,#93A7D1,1,7,12,#C49A00,1
FOXP3,1284,12,0.00934579439252336,22.7227741972811,0.0176968646396271,1.8935645164401,6,rna_FOXP3,FOXP3,10.5,t_cd4_naive,1196,CD4 Naive,#93A7D1,1,7,12,#C49A00,1
UBE2E2,1014,93,0.0917159763313609,176.907971247755,0.174465454879442,1.90223624997586,7,rna_UBE2E2,UBE2E2,7.5,t_cd4_cm,926,CD4 CM,#00AEEF,2,6,6,#00B6EB,0.643570222784689
MAF,1014,531,0.523668639053254,920.597639770352,0.907887218708434,1.73370553629068,7,rna_MAF,MAF,8.5,t_cd4_cm,926,CD4 CM,#00AEEF,2,6,6,#00B6EB,0.548349964361956
CCL5,1014,25,0.02465483234714,33.0678292234217,0.0326112714234928,1.32271316893687,7,rna_CCL5,CCL5,9.5,t_cd4_cm,926,CD4 CM,#00AEEF,2,6,6,#00B6EB,0.074629184621479
FOXP3,1014,49,0.0483234714003945,66.7586439123226,0.0658369269352293,1.36242130433311,7,rna_FOXP3,FOXP3,10.5,t_cd4_cm,926,CD4 CM,#00AEEF,2,6,6,#00B6EB,0.196953937853104
UBE2E2,947,212,0.223864836325238,459.385186457756,0.485095233851907,2.16691125687621,8,rna_UBE2E2,UBE2E2,7.5,t_cd4_treg,771,CD4 Treg,#E57A93,4,4,2,#FB61D7,0.93179050539499
MAF,947,74,0.0781414994720169,126.73415912751,0.133826989574984,1.71262377199338,8,rna_MAF,MAF,8.5,t_cd4_treg,771,CD4 Treg,#E57A93,4,4,2,#FB61D7,0.517782262168487
CCL5,947,32,0.0337909186906019,47.8036586409932,0.0504790481953465,1.49386433253104,8,rna_CCL5,CCL5,9.5,t_cd4_treg,771,CD4 Treg,#E57A93,4,4,2,#FB61D7,0.351974431427413
FOXP3,947,247,0.260823653643083,421.40958528431,0.444994282243199,1.706111681313,8,rna_FOXP3,FOXP3,10.5,t_cd4_treg,771,CD4 Treg,#E57A93,4,4,2,#FB61D7,0.716586303550899
UBE2E2,593,6,0.0101180438448567,9.68601240104052,0.0163339163592589,1.61433540017342,9,rna_UBE2E2,UBE2E2,7.5,t_cd4_cm,487,CD4 CM,#00AEEF,2,6,5,#06A4FF,0.330057944970544
MAF,593,325,0.548060708263069,580.456354605056,0.978847140986603,1.78601955263094,9,rna_MAF,MAF,8.5,t_cd4_cm,487,CD4 CM,#00AEEF,2,6,5,#06A4FF,0.624203163813465
CCL5,593,37,0.0623946037099494,56.1407901916069,0.0946724961072629,1.51731865382721,9,rna_CCL5,CCL5,9.5,t_cd4_cm,487,CD4 CM,#00AEEF,2,6,5,#06A4FF,0.389981444596067
FOXP3,593,16,0.0269814502529511,20.9548878895514,0.0353370790717561,1.30968049309696,9,rna_FOXP3,FOXP3,10.5,t_cd4_cm,487,CD4 CM,#00AEEF,2,6,5,#06A4FF,0.117214048851013
UBE2E2,568,4,0.00704225352112676,5.24496212383764,0.00923408824619302,1.31124053095941,10,rna_UBE2E2,UBE2E2,7.5,t_cd4_treg,504,CD4 Treg,#E57A93,4,4,1,#FF66A8,0
MAF,568,273,0.480633802816901,463.753594568093,0.816467596070585,1.69873111563404,10,rna_MAF,MAF,8.5,t_cd4_treg,504,CD4 Treg,#E57A93,4,4,1,#FF66A8,0.497638474567056
CCL5,568,13,0.022887323943662,18.6317153017131,0.0328023156720301,1.43320886936255,10,rna_CCL5,CCL5,9.5,t_cd4_treg,504,CD4 Treg,#E57A93,4,4,1,#FF66A8,0.253684101117522
FOXP3,568,238,0.419014084507042,413.207908631593,0.727478712379566,1.73616768332602,10,rna_FOXP3,FOXP3,10.5,t_cd4_treg,504,CD4 Treg,#E57A93,4,4,1,#FF66A8,0.762028575070656
UBE2E2,550,7,0.0127272727272727,15.6068400960069,0.0283760729018307,2.22954858514384,11,rna_UBE2E2,UBE2E2,7.5,t_cd4_cm,491,CD4 CM,#00AEEF,2,6,4,#A58AFF,1
MAF,550,225,0.409090909090909,385.818227485094,0.701487686336535,1.71474767771153,11,rna_MAF,MAF,8.5,t_cd4_cm,491,CD4 CM,#00AEEF,2,6,4,#A58AFF,0.520861839217352
CCL5,550,20,0.0363636363636364,26.5966780673153,0.0483575964860278,1.32983390336577,11,rna_CCL5,CCL5,9.5,t_cd4_cm,491,CD4 CM,#00AEEF,2,6,4,#A58AFF,0.0861681178437184
FOXP3,550,5,0.00909090909090909,6.16076936854669,0.0112013988519031,1.23215387370934,11,rna_FOXP3,FOXP3,10.5,t_cd4_cm,491,CD4 CM,#00AEEF,2,6,4,#A58AFF,0
UBE2E2,525,152,0.28952380952381,321.7809265419,0.612916050556,2.11697977988092,12,rna_UBE2E2,UBE2E2,7.5,t_cd4_naive,320,CD4 Naive,#93A7D1,1,7,11,#99A800,0.877417164370958
MAF,525,78,0.148571428571429,126.61406473462,0.241169647113562,1.62325724018744,12,rna_MAF,MAF,8.5,t_cd4_naive,320,CD4 Naive,#93A7D1,1,7,11,#99A800,0.388204419831259
CCL5,525,10,0.019047619047619,14.8291789943558,0.0282460552273444,1.48291789943558,12,rna_CCL5,CCL5,9.5,t_cd4_naive,320,CD4 Naive,#93A7D1,1,7,11,#99A800,0.334236070058732
FOXP3,525,9,0.0171428571428571,12.6656629681207,0.0241250723202298,1.40729588534674,12,rna_FOXP3,FOXP3,10.5,t_cd4_naive,320,CD4 Naive,#93A7D1,1,7,11,#99A800,0.264800715806894
UBE2E2,314,136,0.43312101910828,283.366314189717,0.902440491050053,2.08357583963027,13,rna_UBE2E2,UBE2E2,7.5,t_cd4_naive,313,CD4 Naive,#93A7D1,1,7,10,#53B400,0.841041636465653
MAF,314,10,0.0318471337579618,13.5552255649231,0.0431695081685449,1.35552255649231,13,rna_MAF,MAF,8.5,t_cd4_naive,313,CD4 Naive,#93A7D1,1,7,10,#53B400,0
CCL5,314,6,0.0191082802547771,8.84861494117047,0.0281803023604155,1.47476915686175,13,rna_CCL5,CCL5,9.5,t_cd4_naive,313,CD4 Naive,#93A7D1,1,7,10,#53B400,0.321031280953953
FOXP3,314,3,0.00955414012738853,4.0057768907924,0.0127572512445618,1.33525896359747,13,rna_FOXP3,FOXP3,10.5,t_cd4_naive,313,CD4 Naive,#93A7D1,1,7,10,#53B400,0.155886650783909
