subject,treatment,stim,population,feature,group,count,frac
PB04864,BD,no,CD8,CD40L,neg,18229,0.999177811883359
PB04864,BD,no,CD8,CD40L,pos,15,0.000822188116641087
PB04864,BD,no,CD8,CD69,neg,3505,0.194527694527695
PB04864,BD,no,CD8,CD69,mid,14422,0.8004218004218
PB04864,BD,no,CD8,CD69,pos,91,0.00505050505050505
PB04864,BD,no,CD4,CD40L,neg,46363,0.953343477545649
PB04864,BD,no,CD4,CD40L,pos,2269,0.046656522454351
PB04864,BD,no,CD4,CD69,neg,47300,0.964263143946344
PB04864,BD,no,CD4,CD69,mid,1733,0.0353291337940595
PB04864,BD,no,CD4,CD69,pos,20,0.000407722259596763
PB04864,BD,yes,CD8,CD40L,neg,6359,0.99577200125274
PB04864,BD,yes,CD8,CD40L,pos,27,0.00422799874725963
PB04864,BD,yes,CD8,CD69,neg,274,0.0434369055168041
PB04864,BD,yes,CD8,CD69,mid,5712,0.905516804058339
PB04864,BD,yes,CD8,CD69,pos,322,0.0510462904248573
PB04864,BD,yes,CD4,CD40L,neg,7019,0.636124705455864
PB04864,BD,yes,CD4,CD40L,pos,4015,0.363875294544136
PB04864,BD,yes,CD4,CD69,neg,3120,0.280853362138806
PB04864,BD,yes,CD4,CD69,mid,6193,0.557475920424881
PB04864,BD,yes,CD4,CD69,pos,1796,0.161670717436313
PB04864,BL,no,CD8,CD40L,neg,18238,0.997866170596925
PB04864,BL,no,CD8,CD40L,pos,39,0.0021338294030749
PB04864,BL,no,CD8,CD69,neg,5290,0.293970547374271
PB04864,BL,no,CD8,CD69,mid,12614,0.700972492358989
PB04864,BL,no,CD8,CD69,pos,91,0.00505696026674076
PB04864,BL,no,CD4,CD40L,neg,46330,0.958598001282821
PB04864,BL,no,CD4,CD40L,pos,2001,0.0414019987171795
PB04864,BL,no,CD4,CD69,neg,47871,0.984939201283871
PB04864,BL,no,CD4,CD69,mid,698,0.0143612534205707
PB04864,BL,no,CD4,CD69,pos,34,0.000699545295557887
PB04864,BL,yes,CD8,CD40L,neg,7658,0.972444444444444
PB04864,BL,yes,CD8,CD40L,pos,217,0.0275555555555556
PB04864,BL,yes,CD8,CD69,neg,330,0.0431372549019608
PB04864,BL,yes,CD8,CD69,mid,5755,0.752287581699346
PB04864,BL,yes,CD8,CD69,pos,1565,0.204575163398693
PB04864,BL,yes,CD4,CD40L,neg,4698,0.469893978795759
PB04864,BL,yes,CD4,CD40L,pos,5300,0.530106021204241
PB04864,BL,yes,CD4,CD69,neg,2150,0.215452450145305
PB04864,BL,yes,CD4,CD69,mid,4170,0.417877542839964
PB04864,BL,yes,CD4,CD69,pos,3659,0.366670007014731
PB04864,DL,no,CD8,CD40L,neg,20237,0.99728957224522
PB04864,DL,no,CD8,CD40L,pos,55,0.00271042775478021
PB04864,DL,no,CD8,CD69,neg,4910,0.244973307389113
PB04864,DL,no,CD8,CD69,mid,14841,0.740458015267176
PB04864,DL,no,CD8,CD69,pos,292,0.014568677343711
PB04864,DL,no,CD4,CD40L,neg,44726,0.927694349954368
PB04864,DL,no,CD4,CD40L,pos,3486,0.0723056500456318
PB04864,DL,no,CD4,CD69,neg,45118,0.923754146021866
PB04864,DL,no,CD4,CD69,mid,3350,0.0685885098890299
PB04864,DL,no,CD4,CD69,pos,374,0.00765734408910364
PB04864,DL,yes,CD8,CD40L,neg,7485,0.966679581557536
PB04864,DL,yes,CD8,CD40L,pos,258,0.0333204184424642
PB04864,DL,yes,CD8,CD69,neg,383,0.0510054601145292
PB04864,DL,yes,CD8,CD69,mid,4171,0.555466773205487
PB04864,DL,yes,CD8,CD69,pos,2955,0.393527766679984
PB04864,DL,yes,CD4,CD40L,neg,6745,0.485531241002016
PB04864,DL,yes,CD4,CD40L,pos,7147,0.514468758997984
PB04864,DL,yes,CD4,CD69,neg,2406,0.172708348287991
PB04864,DL,yes,CD4,CD69,mid,5018,0.360203861890747
PB04864,DL,yes,CD4,CD69,pos,6507,0.467087789821262
PB04864,BDL,no,CD8,CD40L,neg,19825,0.996681916444623
PB04864,BDL,no,CD8,CD40L,pos,66,0.0033180835553768
PB04864,BDL,no,CD8,CD69,neg,3471,0.176371951219512
PB04864,BDL,no,CD8,CD69,mid,16082,0.817174796747967
PB04864,BDL,no,CD8,CD69,pos,127,0.00645325203252033
PB04864,BDL,no,CD4,CD40L,neg,43776,0.88671028378132
PB04864,BDL,no,CD4,CD40L,pos,5593,0.11328971621868
PB04864,BDL,no,CD4,CD69,neg,46803,0.93032917229864
PB04864,BDL,no,CD4,CD69,mid,3474,0.0690546235191222
PB04864,BDL,no,CD4,CD69,pos,31,0.000616204182237418
PB04864,BDL,yes,CD8,CD40L,neg,7175,0.991569928137092
PB04864,BDL,yes,CD8,CD40L,pos,61,0.00843007186290768
PB04864,BDL,yes,CD8,CD69,neg,545,0.0763198431592214
PB04864,BDL,yes,CD8,CD69,mid,6376,0.892872146758157
PB04864,BDL,yes,CD8,CD69,pos,220,0.0308080100826215
PB04864,BDL,yes,CD4,CD40L,neg,6835,0.577231652732033
PB04864,BDL,yes,CD4,CD40L,pos,5006,0.422768347267967
PB04864,BDL,yes,CD4,CD69,neg,4091,0.339755834233037
PB04864,BDL,yes,CD4,CD69,mid,6804,0.565069346399801
PB04864,BDL,yes,CD4,CD69,pos,1146,0.0951748193671622
PB04865,DMSO,no,CD8,CD40L,neg,15494,0.986188021131691
PB04865,DMSO,no,CD8,CD40L,pos,217,0.0138119788683088
PB04865,DMSO,no,CD8,CD69,neg,2132,0.136754329698525
PB04865,DMSO,no,CD8,CD69,mid,12374,0.793713919178961
PB04865,DMSO,no,CD8,CD69,pos,1084,0.0695317511225144
PB04865,DMSO,no,CD4,CD40L,neg,58465,0.949677566070529
PB04865,DMSO,no,CD4,CD40L,pos,3098,0.0503224339294706
PB04865,DMSO,no,CD4,CD69,neg,55272,0.895571722539981
PB04865,DMSO,no,CD4,CD69,mid,4711,0.0763322909409077
PB04865,DMSO,no,CD4,CD69,pos,1734,0.0280959865191114
PB04865,DMSO,yes,CD8,CD40L,neg,3882,0.954042762349472
PB04865,DMSO,yes,CD8,CD40L,pos,187,0.0459572376505284
PB04865,DMSO,yes,CD8,CD69,neg,48,0.0119581464872945
PB04865,DMSO,yes,CD8,CD69,mid,939,0.233931240657698
PB04865,DMSO,yes,CD8,CD69,pos,3027,0.754110612855007
PB04865,DMSO,yes,CD4,CD40L,neg,4635,0.378367346938775
PB04865,DMSO,yes,CD4,CD40L,pos,7615,0.621632653061225
PB04865,DMSO,yes,CD4,CD69,neg,850,0.0682621265660135
PB04865,DMSO,yes,CD4,CD69,mid,1815,0.145759717314488
PB04865,DMSO,yes,CD4,CD69,pos,9787,0.785978156119499
PB04865,B,no,CD8,CD40L,neg,12566,0.99611573523583
PB04865,B,no,CD8,CD40L,pos,49,0.00388426476416964
PB04865,B,no,CD8,CD69,neg,822,0.0657652612208977
PB04865,B,no,CD8,CD69,mid,11178,0.894311544923594
PB04865,B,no,CD8,CD69,pos,499,0.0399231938555084
PB04865,B,no,CD4,CD40L,neg,48188,0.906334637375865
PB04865,B,no,CD4,CD40L,pos,4980,0.0936653626241348
PB04865,B,no,CD4,CD69,neg,35168,0.655948073264446
PB04865,B,no,CD4,CD69,mid,17524,0.326854925952177
PB04865,B,no,CD4,CD69,pos,922,0.0171970007833775
PB04865,B,yes,CD8,CD40L,neg,5114,0.992239037640667
PB04865,B,yes,CD8,CD40L,pos,40,0.00776096235933256
PB04865,B,yes,CD8,CD69,neg,59,0.0118450110419594
PB04865,B,yes,CD8,CD69,mid,3601,0.722947199357559
PB04865,B,yes,CD8,CD69,pos,1321,0.265207789600482
PB04865,B,yes,CD4,CD40L,neg,3639,0.485782939527433
PB04865,B,yes,CD4,CD40L,pos,3852,0.514217060472567
PB04865,B,yes,CD4,CD69,neg,1354,0.180919294494923
PB04865,B,yes,CD4,CD69,mid,3585,0.479021913415286
PB04865,B,yes,CD4,CD69,pos,2545,0.340058792089792
PB04865,D,no,CD8,CD40L,neg,19353,0.995627122131907
PB04865,D,no,CD8,CD40L,pos,85,0.00437287786809343
PB04865,D,no,CD8,CD69,neg,3148,0.163694035671572
PB04865,D,no,CD8,CD69,mid,15447,0.803234361187666
PB04865,D,no,CD8,CD69,pos,636,0.0330716031407623
PB04865,D,no,CD4,CD40L,neg,62878,0.947186068932273
PB04865,D,no,CD4,CD40L,pos,3506,0.0528139310677272
PB04865,D,no,CD4,CD69,neg,61505,0.91897262730098
PB04865,D,no,CD4,CD69,mid,4428,0.066160650251016
PB04865,D,no,CD4,CD69,pos,995,0.0148667224480038
PB04865,D,yes,CD8,CD40L,neg,5294,0.969952363503115
PB04865,D,yes,CD8,CD40L,pos,164,0.0300476364968853
PB04865,D,yes,CD8,CD69,neg,82,0.0154135338345865
PB04865,D,yes,CD8,CD69,mid,2384,0.44812030075188
PB04865,D,yes,CD8,CD69,pos,2854,0.536466165413534
PB04865,D,yes,CD4,CD40L,neg,6299,0.499682690782167
PB04865,D,yes,CD4,CD40L,pos,6307,0.500317309217833
PB04865,D,yes,CD4,CD69,neg,1826,0.143576033967605
PB04865,D,yes,CD4,CD69,mid,3236,0.254442522409184
PB04865,D,yes,CD4,CD69,pos,7656,0.601981443623211
PB04865,L,no,CD8,CD40L,neg,12682,0.986618951299207
PB04865,L,no,CD8,CD40L,pos,172,0.0133810487007935
PB04865,L,no,CD8,CD69,neg,2588,0.203491114955182
PB04865,L,no,CD8,CD69,mid,9415,0.740289353671961
PB04865,L,no,CD8,CD69,pos,715,0.0562195313728574
PB04865,L,no,CD4,CD40L,neg,45621,0.950061434015702
PB04865,L,no,CD4,CD40L,pos,2398,0.0499385659842979
PB04865,L,no,CD4,CD69,neg,44932,0.933128426648945
PB04865,L,no,CD4,CD69,mid,2034,0.0422412360857285
PB04865,L,no,CD4,CD69,pos,1186,0.0246303372653265
PB04865,L,yes,CD8,CD40L,neg,3399,0.940248962655602
PB04865,L,yes,CD8,CD40L,pos,216,0.0597510373443983
PB04865,L,yes,CD8,CD69,neg,53,0.0149717514124294
PB04865,L,yes,CD8,CD69,mid,1044,0.294915254237288
PB04865,L,yes,CD8,CD69,pos,2443,0.690112994350283
PB04865,L,yes,CD4,CD40L,neg,2956,0.336789335763928
PB04865,L,yes,CD4,CD40L,pos,5821,0.663210664236072
PB04865,L,yes,CD4,CD69,neg,803,0.0899316832792026
PB04865,L,yes,CD4,CD69,mid,1495,0.167431963265763
PB04865,L,yes,CD4,CD69,pos,6631,0.742636353455034
PB04865,BD,no,CD8,CD40L,neg,12814,0.998286070426924
PB04865,BD,no,CD8,CD40L,pos,22,0.00171392957307572
PB04865,BD,no,CD8,CD69,neg,1240,0.0977455462714804
PB04865,BD,no,CD8,CD69,mid,11011,0.867964685480057
PB04865,BD,no,CD8,CD69,pos,435,0.0342897682484629
PB04865,BD,no,CD4,CD40L,neg,47733,0.930812581657924
PB04865,BD,no,CD4,CD40L,pos,3548,0.069187418342076
PB04865,BD,no,CD4,CD69,neg,42354,0.817897420052526
PB04865,BD,no,CD4,CD69,mid,9086,0.175459601421288
PB04865,BD,no,CD4,CD69,pos,344,0.00664297852618569
PB04865,BD,yes,CD8,CD40L,neg,4631,0.995699849494732
PB04865,BD,yes,CD8,CD40L,pos,20,0.00430015050526768
PB04865,BD,yes,CD8,CD69,neg,93,0.0204981265153185
PB04865,BD,yes,CD8,CD69,mid,3806,0.838880317390346
PB04865,BD,yes,CD8,CD69,pos,638,0.140621556094335
PB04865,BD,yes,CD4,CD40L,neg,4192,0.542934852998316
PB04865,BD,yes,CD4,CD40L,pos,3529,0.457065147001684
PB04865,BD,yes,CD4,CD69,neg,1584,0.202505753004347
PB04865,BD,yes,CD4,CD69,mid,5098,0.651751470212222
PB04865,BD,yes,CD4,CD69,pos,1140,0.145742776783431
PB04865,BL,no,CD8,CD40L,neg,14478,0.99738219895288
PB04865,BL,no,CD8,CD40L,pos,38,0.00261780104712042
PB04865,BL,no,CD8,CD69,neg,3027,0.211323652611003
PB04865,BL,no,CD8,CD69,mid,11201,0.781974308852276
PB04865,BL,no,CD8,CD69,pos,96,0.00670203853672159
PB04865,BL,no,CD4,CD40L,neg,48564,0.9231646580238
PB04865,BL,no,CD4,CD40L,pos,4042,0.0768353419762004
PB04865,BL,no,CD4,CD69,neg,51668,0.971111737618645
PB04865,BL,no,CD4,CD69,mid,1506,0.0283056103749648
PB04865,BL,no,CD4,CD69,pos,31,0.000582652006390377
PB04865,BL,yes,CD8,CD40L,neg,4439,0.988421287018481
PB04865,BL,yes,CD8,CD40L,pos,52,0.0115787129815186
PB04865,BL,yes,CD8,CD69,neg,257,0.0583825533848251
PB04865,BL,yes,CD8,CD69,mid,3582,0.813721035892776
PB04865,BL,yes,CD8,CD69,pos,563,0.127896410722399
PB04865,BL,yes,CD4,CD40L,neg,3488,0.531950587158762
PB04865,BL,yes,CD4,CD40L,pos,3069,0.468049412841238
PB04865,BL,yes,CD4,CD69,neg,2531,0.379346522781775
PB04865,BL,yes,CD4,CD69,mid,2811,0.421312949640288
PB04865,BL,yes,CD4,CD69,pos,1330,0.199340527577938
PB04865,DL,no,CD8,CD40L,neg,15983,0.996135867871611
PB04865,DL,no,CD8,CD40L,pos,62,0.00386413212838891
PB04865,DL,no,CD8,CD69,neg,4241,0.267942886024766
PB04865,DL,no,CD8,CD69,mid,11140,0.70381602223907
PB04865,DL,no,CD8,CD69,pos,447,0.0282410917361638
PB04865,DL,no,CD4,CD40L,neg,50443,0.923644553494589
PB04865,DL,no,CD4,CD40L,pos,4170,0.0763554465054108
PB04865,DL,no,CD4,CD69,neg,49719,0.901392363755031
PB04865,DL,no,CD4,CD69,mid,4250,0.0770513796729396
PB04865,DL,no,CD4,CD69,pos,1189,0.0215562565720294
PB04865,DL,yes,CD8,CD40L,neg,4179,0.966466234967623
PB04865,DL,yes,CD8,CD40L,pos,145,0.0335337650323774
PB04865,DL,yes,CD8,CD69,neg,217,0.0516789711836151
PB04865,DL,yes,CD8,CD69,mid,2050,0.488211478923553
PB04865,DL,yes,CD8,CD69,pos,1932,0.460109549892832
PB04865,DL,yes,CD4,CD40L,neg,3973,0.478386514148104
PB04865,DL,yes,CD4,CD40L,pos,4332,0.521613485851896
PB04865,DL,yes,CD4,CD69,neg,1868,0.221668446659547
PB04865,DL,yes,CD4,CD69,mid,2070,0.24563901744393
PB04865,DL,yes,CD4,CD69,pos,4489,0.532692535896523
PB04865,BDL,no,CD8,CD40L,neg,14013,0.996444570859703
PB04865,BDL,no,CD8,CD40L,pos,50,0.00355542914029723
PB04865,BDL,no,CD8,CD69,neg,1250,0.0901875901875902
PB04865,BDL,no,CD8,CD69,mid,11745,0.847402597402597
PB04865,BDL,no,CD8,CD69,pos,865,0.0624098124098124
PB04865,BDL,no,CD4,CD40L,neg,46340,0.86079429356912
PB04865,BDL,no,CD4,CD40L,pos,7494,0.13920570643088
PB04865,BDL,no,CD4,CD69,neg,37355,0.682071320320631
PB04865,BDL,no,CD4,CD69,mid,16406,0.29955995398689
PB04865,BDL,no,CD4,CD69,pos,1006,0.018368725692479
PB04865,BDL,yes,CD8,CD40L,neg,6334,0.991391454061669
PB04865,BDL,yes,CD8,CD40L,pos,55,0.00860854593833151
PB04865,BDL,yes,CD8,CD69,neg,376,0.0597109734794347
PB04865,BDL,yes,CD8,CD69,mid,5290,0.840082579005876
PB04865,BDL,yes,CD8,CD69,pos,631,0.10020644751469
PB04865,BDL,yes,CD4,CD40L,neg,5942,0.584152575697995
PB04865,BDL,yes,CD4,CD40L,pos,4230,0.415847424302005
PB04865,BDL,yes,CD4,CD69,neg,4239,0.405723583460949
PB04865,BDL,yes,CD4,CD69,mid,5098,0.487940275650842
PB04865,BDL,yes,CD4,CD69,pos,1111,0.106336140888208
